idno,gender,cong,art_count
14213,M,102,126
14213,M,103,103
14213,M,104,185
14213,M,105,94
14213,M,106,99
14213,M,107,116
14213,M,108,98
14213,M,109,140
14213,M,110,700
14213,M,111,754
29740,M,108,25
29740,M,109,56
29740,M,110,92
14230,M,102,397
14230,M,103,50
14230,M,104,59
14230,M,105,74
14230,M,106,93
14230,M,107,122
14230,M,108,97
14230,M,109,59
14230,M,110,88
14230,M,111,190
14230,M,112,73
14713,M,102,368
14713,M,103,505
40305,M,112,120
40305,M,108,44
40305,M,109,142
40305,M,110,95
40305,M,111,310
14282,M,102,27
14303,M,102,0
10808,M,102,424
10808,M,103,437
10808,M,104,301
10808,M,105,263
10808,M,106,271
10808,M,107,433
10808,M,108,422
10808,M,109,428
10808,M,110,597
14858,M,106,476
14858,M,107,693
14858,M,108,566
14858,M,109,838
14858,M,110,912
14858,M,111,929
14858,M,112,589
14501,M,102,192
14501,M,103,131
14628,M,102,135
14628,M,103,220
14628,M,104,675
14628,M,105,100
14628,M,106,172
14628,M,107,197
29367,M,104,8
29367,M,105,23
29367,M,106,43
49301,M,104,13
49301,M,105,37
49301,M,106,73
49301,M,103,17
14806,M,104,25
14806,M,105,22
14806,M,102,15
14806,M,112,3
14806,M,103,21
14101,M,102,171
14101,M,103,105
14101,M,104,36
14101,M,105,50
14101,M,106,81
14101,M,107,143
14101,M,108,94
14101,M,109,166
14101,M,110,839
40902,M,112,8
40902,M,111,11
29732,F,107,19
29732,F,108,26
29732,F,109,36
29732,F,110,32
29732,F,111,65
29732,F,112,101
14302,M,104,27
14302,M,105,38
14302,M,102,43
14302,M,103,23
14812,M,103,16
14812,M,104,47
14812,M,105,30
14812,M,106,41
14812,M,107,56
14812,M,108,77
14812,M,109,69
14812,M,110,71
14812,M,111,119
13056,M,102,37
13056,M,103,131
13056,M,104,63
13056,M,105,54
13056,M,106,117
13056,M,107,174
13056,M,108,126
49705,M,105,42
49705,M,106,62
49705,M,107,76
49705,M,108,26
49705,M,109,48
49705,M,110,92
41110,M,112,100
40905,M,112,34
40905,M,111,35
41101,M,112,97
41111,M,112,121
49308,F,103,36
49308,F,104,18
49308,F,105,46
49308,F,106,15
49308,F,107,42
49308,F,108,41
49308,F,109,52
49308,F,110,41
49308,F,111,118
49308,F,112,135
49902,M,106,70
49902,M,107,211
49902,M,108,1400
20735,F,112,216
20735,F,111,500
29345,M,106,4
29345,M,107,3
29345,M,108,5
29345,M,109,8
29345,M,110,6
29345,M,111,26
29345,M,112,31
29512,M,112,92
29512,M,108,35
29512,M,109,26
29512,M,110,78
29512,M,111,58
49501,M,104,16
49501,M,105,87
49501,M,106,119
40303,F,108,40
40303,F,109,53
